"No","Mata Kuliah","Pertanyaan","Sangat Setuju","Setuju","Tidak Setuju","Sangat Tidak Setuju"
"34","Struktur Dermaga (KL4184)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","0.00 %","0.00 %","0.00 %","0.00 %"
"35","Struktur Dermaga (KL4184)","Dosen menyampaikan materi dengan jelas","0.00 %","0.00 %","0.00 %","0.00 %"
"36","Struktur Dermaga (KL4184)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","0.00 %","0.00 %","0.00 %","0.00 %"
"37","Struktur Dermaga (KL4184)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","0.00 %","0.00 %","0.00 %","0.00 %"
"38","Struktur Dermaga (KL4184)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","0.00 %","0.00 %","0.00 %","0.00 %"
"39","Struktur Dermaga (KL4184)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","0.00 %","0.00 %","0.00 %","0.00 %"
"40","Struktur Dermaga (KL4184)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","0.00 %","0.00 %","0.00 %","0.00 %"
"41","Struktur Dermaga (KL4184)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","0.00 %","0.00 %","0.00 %","0.00 %"
"42","Struktur Dermaga (KL4184)","Rata-rata","0.00 %","0.00 %","0.00 %","0.00 %"
"43","Pengantar Teknik Lepas Pantai (KL4074)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","29.00 %","68.00 %","4.00 %","0.00 %"
"44","Pengantar Teknik Lepas Pantai (KL4074)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","18.00 %","79.00 %","4.00 %","0.00 %"
"45","Pengantar Teknik Lepas Pantai (KL4074)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","21.00 %","75.00 %","4.00 %","0.00 %"
"46","Pengantar Teknik Lepas Pantai (KL4074)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","18.00 %","75.00 %","7.00 %","0.00 %"
"47","Pengantar Teknik Lepas Pantai (KL4074)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","18.00 %","82.00 %","0.00 %","0.00 %"
"48","Pengantar Teknik Lepas Pantai (KL4074)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","21.00 %","71.00 %","7.00 %","0.00 %"
"49","Pengantar Teknik Lepas Pantai (KL4074)","Dosen menyampaikan materi dengan jelas","21.00 %","71.00 %","7.00 %","0.00 %"
"50","Pengantar Teknik Lepas Pantai (KL4074)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","18.00 %","75.00 %","4.00 %","4.00 %"
"51","Pengantar Teknik Lepas Pantai (KL4074)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","25.00 %","71.00 %","4.00 %","0.00 %"
"52","Pengantar Teknik Lepas Pantai (KL4074)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","18.00 %","75.00 %","7.00 %","0.00 %"
"53","Pengantar Teknik Lepas Pantai (KL4074)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","21.00 %","71.00 %","4.00 %","4.00 %"
"54","Pengantar Teknik Lepas Pantai (KL4074)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","14.00 %","79.00 %","7.00 %","0.00 %"
"55","Pengantar Teknik Lepas Pantai (KL4074)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","25.00 %","71.00 %","4.00 %","0.00 %"
"56","Pengantar Teknik Lepas Pantai (KL4074)","Rata-rata","21.00 %","74.00 %","5.00 %","1.00 %"
"57","Analisis Struktur (KL3131)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","50.00 %","42.00 %","5.00 %","3.00 %"
"58","Analisis Struktur (KL3131)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","58.00 %","39.00 %","3.00 %","0.00 %"
"59","Analisis Struktur (KL3131)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","55.00 %","45.00 %","0.00 %","0.00 %"
"60","Analisis Struktur (KL3131)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","55.00 %","37.00 %","5.00 %","3.00 %"
"61","Analisis Struktur (KL3131)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","55.00 %","39.00 %","3.00 %","3.00 %"
"62","Analisis Struktur (KL3131)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","61.00 %","37.00 %","3.00 %","0.00 %"
"63","Analisis Struktur (KL3131)","Dosen menyampaikan materi dengan jelas","53.00 %","45.00 %","3.00 %","0.00 %"
"64","Analisis Struktur (KL3131)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","50.00 %","45.00 %","3.00 %","3.00 %"
"65","Analisis Struktur (KL3131)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","55.00 %","39.00 %","3.00 %","3.00 %"
"66","Analisis Struktur (KL3131)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","61.00 %","37.00 %","3.00 %","0.00 %"
"67","Analisis Struktur (KL3131)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","53.00 %","42.00 %","5.00 %","0.00 %"
"68","Analisis Struktur (KL3131)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","53.00 %","37.00 %","8.00 %","3.00 %"
"69","Analisis Struktur (KL3131)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","39.00 %","53.00 %","8.00 %","0.00 %"
"70","Analisis Struktur (KL3131)","Rata-rata","54.00 %","41.00 %","4.00 %","1.00 %"
"71","Pengantar Komputer dan Software 1 (KU0007)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","76.00 %","24.00 %","0.00 %","0.00 %"
"72","Pengantar Komputer dan Software 1 (KU0007)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","71.00 %","29.00 %","0.00 %","0.00 %"
"73","Pengantar Komputer dan Software 1 (KU0007)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","65.00 %","33.00 %","1.00 %","0.00 %"
"74","Pengantar Komputer dan Software 1 (KU0007)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","68.00 %","32.00 %","0.00 %","0.00 %"
"75","Pengantar Komputer dan Software 1 (KU0007)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","69.00 %","31.00 %","0.00 %","0.00 %"
"76","Pengantar Komputer dan Software 1 (KU0007)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","67.00 %","32.00 %","1.00 %","0.00 %"
"77","Pengantar Komputer dan Software 1 (KU0007)","Dosen menyampaikan materi dengan jelas","65.00 %","33.00 %","1.00 %","0.00 %"
"78","Pengantar Komputer dan Software 1 (KU0007)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","69.00 %","31.00 %","0.00 %","0.00 %"
"79","Pengantar Komputer dan Software 1 (KU0007)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","67.00 %","33.00 %","0.00 %","0.00 %"
"80","Pengantar Komputer dan Software 1 (KU0007)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","67.00 %","33.00 %","0.00 %","0.00 %"
"81","Pengantar Komputer dan Software 1 (KU0007)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","64.00 %","35.00 %","1.00 %","0.00 %"
"82","Pengantar Komputer dan Software 1 (KU0007)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","61.00 %","39.00 %","0.00 %","0.00 %"
"83","Pengantar Komputer dan Software 1 (KU0007)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","58.00 %","42.00 %","0.00 %","0.00 %"
"84","Pengantar Komputer dan Software 1 (KU0007)","Rata-rata","67.00 %","33.00 %","0.00 %","0.00 %"
"85","Pengantar Rekayasa Desain (KL1101)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","48.00 %","52.00 %","0.00 %","0.00 %"
"86","Pengantar Rekayasa Desain (KL1101)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","50.00 %","50.00 %","0.00 %","0.00 %"
"87","Pengantar Rekayasa Desain (KL1101)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","43.00 %","57.00 %","0.00 %","0.00 %"
"88","Pengantar Rekayasa Desain (KL1101)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","41.00 %","59.00 %","0.00 %","0.00 %"
"89","Pengantar Rekayasa Desain (KL1101)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","35.00 %","65.00 %","0.00 %","0.00 %"
"90","Pengantar Rekayasa Desain (KL1101)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","43.00 %","57.00 %","0.00 %","0.00 %"
"91","Pengantar Rekayasa Desain (KL1101)","Dosen menyampaikan materi dengan jelas","43.00 %","57.00 %","0.00 %","0.00 %"
"92","Pengantar Rekayasa Desain (KL1101)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","37.00 %","63.00 %","0.00 %","0.00 %"
"93","Pengantar Rekayasa Desain (KL1101)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","43.00 %","56.00 %","2.00 %","0.00 %"
"94","Pengantar Rekayasa Desain (KL1101)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","39.00 %","61.00 %","0.00 %","0.00 %"
"95","Pengantar Rekayasa Desain (KL1101)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","43.00 %","57.00 %","0.00 %","0.00 %"
"96","Pengantar Rekayasa Desain (KL1101)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","41.00 %","59.00 %","0.00 %","0.00 %"
"97","Pengantar Rekayasa Desain (KL1101)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","41.00 %","59.00 %","0.00 %","0.00 %"
"98","Pengantar Rekayasa Desain (KL1101)","Rata-rata","42.00 %","58.00 %","0.00 %","0.00 %"
"99","Statistika dan Probabilitas (KL2102)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","46.00 %","52.00 %","1.00 %","2.00 %"
"100","Statistika dan Probabilitas (KL2102)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","46.00 %","52.00 %","1.00 %","2.00 %"
"101","Statistika dan Probabilitas (KL2102)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","42.00 %","52.00 %","4.00 %","2.00 %"
"102","Statistika dan Probabilitas (KL2102)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","46.00 %","50.00 %","2.00 %","3.00 %"
"103","Statistika dan Probabilitas (KL2102)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","45.00 %","51.00 %","1.00 %","4.00 %"
"104","Statistika dan Probabilitas (KL2102)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","45.00 %","52.00 %","1.00 %","3.00 %"
"105","Statistika dan Probabilitas (KL2102)","Dosen menyampaikan materi dengan jelas","44.00 %","52.00 %","2.00 %","3.00 %"
"106","Statistika dan Probabilitas (KL2102)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","46.00 %","50.00 %","2.00 %","3.00 %"
"107","Statistika dan Probabilitas (KL2102)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","43.00 %","53.00 %","1.00 %","4.00 %"
"108","Statistika dan Probabilitas (KL2102)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","42.00 %","54.00 %","3.00 %","2.00 %"
"109","Statistika dan Probabilitas (KL2102)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","44.00 %","50.00 %","4.00 %","3.00 %"
"110","Statistika dan Probabilitas (KL2102)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","42.00 %","52.00 %","4.00 %","2.00 %"
"111","Statistika dan Probabilitas (KL2102)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","43.00 %","53.00 %","2.00 %","3.00 %"
"112","Statistika dan Probabilitas (KL2102)","Rata-rata","44.00 %","52.00 %","2.00 %","2.00 %"
"113","Struktur Lanjut (KL3231)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","42.00 %","56.00 %","2.00 %","0.00 %"
"114","Struktur Lanjut (KL3231)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","44.00 %","53.00 %","2.00 %","0.00 %"
"115","Struktur Lanjut (KL3231)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","47.00 %","51.00 %","0.00 %","2.00 %"
"116","Struktur Lanjut (KL3231)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","51.00 %","47.00 %","2.00 %","0.00 %"
"117","Struktur Lanjut (KL3231)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","44.00 %","56.00 %","0.00 %","0.00 %"
"118","Struktur Lanjut (KL3231)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","51.00 %","49.00 %","0.00 %","0.00 %"
"119","Struktur Lanjut (KL3231)","Dosen menyampaikan materi dengan jelas","44.00 %","56.00 %","0.00 %","0.00 %"
"120","Struktur Lanjut (KL3231)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","49.00 %","49.00 %","2.00 %","0.00 %"
"121","Struktur Lanjut (KL3231)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","47.00 %","53.00 %","0.00 %","0.00 %"
"122","Struktur Lanjut (KL3231)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","49.00 %","51.00 %","0.00 %","0.00 %"
"123","Struktur Lanjut (KL3231)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","40.00 %","60.00 %","0.00 %","0.00 %"
"124","Struktur Lanjut (KL3231)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","37.00 %","51.00 %","12.00 %","0.00 %"
"125","Struktur Lanjut (KL3231)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","44.00 %","56.00 %","0.00 %","0.00 %"
"126","Struktur Lanjut (KL3231)","Rata-rata","45.00 %","53.00 %","2.00 %","0.00 %"
"127","Kuliah Kerja Nyata (KU0005)","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","0.00 %","0.00 %","0.00 %","0.00 %"
"128","Kuliah Kerja Nyata (KU0005)","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","0.00 %","0.00 %","0.00 %","0.00 %"
"129","Kuliah Kerja Nyata (KU0005)","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","0.00 %","0.00 %","0.00 %","0.00 %"
"130","Kuliah Kerja Nyata (KU0005)","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","0.00 %","0.00 %","0.00 %","0.00 %"
"131","Kuliah Kerja Nyata (KU0005)","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","0.00 %","0.00 %","0.00 %","0.00 %"
"132","Kuliah Kerja Nyata (KU0005)","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","0.00 %","0.00 %","0.00 %","0.00 %"
"133","Kuliah Kerja Nyata (KU0005)","Dosen menyampaikan materi dengan jelas","0.00 %","0.00 %","0.00 %","0.00 %"
"134","Kuliah Kerja Nyata (KU0005)","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","0.00 %","0.00 %","0.00 %","0.00 %"
"135","Kuliah Kerja Nyata (KU0005)","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","0.00 %","0.00 %","0.00 %","0.00 %"
"136","Kuliah Kerja Nyata (KU0005)","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","0.00 %","0.00 %","0.00 %","0.00 %"
"137","Kuliah Kerja Nyata (KU0005)","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","0.00 %","0.00 %","0.00 %","0.00 %"
"138","Kuliah Kerja Nyata (KU0005)","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","0.00 %","0.00 %","0.00 %","0.00 %"
"139","Kuliah Kerja Nyata (KU0005)","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","0.00 %","0.00 %","0.00 %","0.00 %"
"140","Kuliah Kerja Nyata (KU0005)","Rata-rata","0.00 %","0.00 %","0.00 %","0.00 %"
"141","Keseluruhan","Dosen menyampaikan materi kuliah sesuai dengan kontrak kuliah","50.00 %","48.00 %","2.00 %","1.00 %"
"142","Keseluruhan","Dosen menyiapkan materi dengan sebaik-baiknya pada setiap pertemuan","50.00 %","48.00 %","2.00 %","1.00 %"
"143","Keseluruhan","Dosen menggunakan fererensi berupa buku/diktat/bahan ajar yang sesuai dengan materi mata kuliah","46.00 %","50.00 %","3.00 %","1.00 %"
"144","Keseluruhan","Dosen memberikan tugas sesuai dengan beban SKS mata kuliah","47.00 %","48.00 %","3.00 %","1.00 %"
"145","Keseluruhan","Dosen memberikan tugas yang dapat meningkatkan penguasaan materi","46.00 %","51.00 %","2.00 %","1.00 %"
"146","Keseluruhan","Dosen Mengajar tepat waktu atau disiplin sesuai jadwal yang telah ditetapkan.","49.00 %","48.00 %","3.00 %","1.00 %"
"147","Keseluruhan","Dosen menyampaikan materi dengan jelas","46.00 %","50.00 %","3.00 %","1.00 %"
"148","Keseluruhan","Dosen mampu memotivasi mahasiswa untuk memperhatikan perkuliahan","46.00 %","50.00 %","2.00 %","2.00 %"
"149","Keseluruhan","Dosen toleransi keberagaman mahasiswa dan menyampaikan pesan pesan moral etika, dan disiplin","47.00 %","49.00 %","2.00 %","2.00 %"
"150","Keseluruhan","Dosen Menanggapi pertanyaan atau pendapat mahasiswa dengan baik","47.00 %","50.00 %","2.00 %","1.00 %"
"151","Keseluruhan","Dosen berkomunikasi dengan efektif dan berusaha dengan caranya agar mahasiswa tertarik mengikuti pelajarannya","45.00 %","51.00 %","3.00 %","1.00 %"
"152","Keseluruhan","Penyelenggaraan kuliah dengan menggunakan metode ­e-learning secara keseluruhan berjalan dengan efektif","44.00 %","50.00 %","5.00 %","1.00 %"
"153","Keseluruhan","Dosen membuat soal ujian sesuai dengan materi yang disampaikan","43.00 %","53.00 %","2.00 %","2.00 %"
"154","Keseluruhan","Rata-rata","47.00 %","50.00 %","3.00 %","1.00 %"
